"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""277400993""","=""freehumanity""","=""18057200593582547""","=""💖💖💖💖""","=""https://www.instagram.com/freehumanity""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/273593537_367893061436244_1974566757486780430_n.jpg""","=""5/11/2024, 8:48:27 PM"""
"=""3184757350""","=""brandonv.ogt""","=""18074306638499786""","=""To Serve and Protect….the people on top from the people on the bottom.""","=""https://www.instagram.com/brandonv.ogt""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/444225903_1496005677985007_8455944901919753175_n.jpg""","=""5/11/2024, 8:50:38 PM"""
"=""62212285635""","=""socialist_pagan""","=""17895508403934511""","=""Oh shut dudes are showing up to protests in armor??? Hot""","=""https://www.instagram.com/socialist_pagan""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/382324108_348262224219510_2700976187685930452_n.jpg""","=""5/11/2024, 8:54:04 PM"""
"=""9124178090""","=""sykadelic_angel""","=""17855982891172726""","=""The back of the dude in slide 4's helmet says """"when the shooting starts, get behind me!""""""","=""https://www.instagram.com/sykadelic_angel""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/442419556_452625173924049_6565476103014891473_n.jpg""","=""5/11/2024, 8:58:47 PM"""
"=""6771643346""","=""xanderlearns""","=""18047394259710313""","=""That fourth slide looks like AI""","=""https://www.instagram.com/xanderlearns""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/431345772_388245254073447_2286697741939724938_n.jpg""","=""5/11/2024, 8:59:24 PM"""
"=""180792475""","=""chineasy_rider""","=""18080275948461923""","=""Anyone know the helmet on slide 4""","=""https://www.instagram.com/chineasy_rider""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/441106914_1848995378950325_8070398902468715131_n.jpg""","=""5/11/2024, 9:12:42 PM"""
"=""187386741""","=""that_guy505""","=""18400723255073556""","=""That second one is literally you guys saying fuck police, getting your ass kicked by counter-proterrorists and then crying that police weren’t there to save you 😅""","=""https://www.instagram.com/that_guy505""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/287312838_421074489895767_4492247446328491554_n.jpg""","=""5/11/2024, 9:17:55 PM"""
"=""4246220167""","=""now.youre.dead""","=""18103835044401868""","=""can we see two million more of panel four, please?🔥🔥🔥🔥🔥🔥🔥""","=""https://www.instagram.com/now.youre.dead""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/277560744_716679306173237_7913777770195929028_n.jpg""","=""5/11/2024, 9:19:44 PM"""
"=""48187005229""","=""2077dc""","=""18187351801288631""","=""@that_guy505 shhhhh, don't call out their hypocrisy! I'm also curious as to how many arrests the anti police people make, how many murders they've put away and how many investigations they've done to solve crimes""","=""https://www.instagram.com/2077dc""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/206266146_555942262246130_3228007571647701760_n.jpg""","=""5/11/2024, 9:35:48 PM"""
"=""1513569752""","=""jorge.biaggi""","=""18151555312312243""","=""AMERICAN SPRING.""","=""https://www.instagram.com/jorge.biaggi""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/364263225_6437853072959286_7005984444045168547_n.jpg""","=""5/11/2024, 9:42:41 PM"""
"=""3682858123""","=""marcelle.pepe""","=""18024301988126514""","=""Of course they can, as they(us) astonished insect volatile wildlife in what... 20y ? Mébiless !""","=""https://www.instagram.com/marcelle.pepe""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/14073264_101400943646901_1211950679_a.jpg""","=""5/11/2024, 10:12:19 PM"""
"=""1633211747""","=""rororedleaf""","=""18393258769077939""","=""@xanderlearns you can see the person taking the video in the reflection of the helmet. Idk if ai is that good yet!""","=""https://www.instagram.com/rororedleaf""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/349301986_800157371629436_1719237368288435853_n.jpg""","=""5/11/2024, 10:28:52 PM"""
"=""2258199039""","=""crystal_tyler_milsap""","=""17964756587620585""","=""That snake will take it without Vaseline as long as it keeps daddy happy 👅 🥾""","=""https://www.instagram.com/crystal_tyler_milsap""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/26865169_207220613176775_5727501814505406464_n.jpg""","=""5/11/2024, 10:30:38 PM"""
"=""6005379413""","=""chntwnryn""","=""18433971856042665""","=""Pig viewing area 😂😂😂""","=""https://www.instagram.com/chntwnryn""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/344779841_486827030244417_2616908223569009407_n.jpg""","=""5/11/2024, 10:48:28 PM"""
"=""22384232687""","=""alyx_loves_horror""","=""17997972923373416""","=""@xanderlearns it’s not thankfully""","=""https://www.instagram.com/alyx_loves_horror""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/203425505_362749135269704_7468019471767665591_n.jpg""","=""5/11/2024, 10:51:40 PM"""
"=""44703250""","=""jwfilmdesign""","=""18028778363026240""","=""@superpowertothepeople""","=""https://www.instagram.com/jwfilmdesign""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/398875983_331501852811030_8555124654571532174_n.jpg""","=""5/11/2024, 11:03:28 PM"""
"=""2288187598""","=""baylee.woiak""","=""18033985027799016""","=""Story behind the 4th?""","=""https://www.instagram.com/baylee.woiak""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/384976516_204270159233520_6659630114952159039_n.jpg""","=""5/11/2024, 11:06:05 PM"""
