"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""337675507""","=""karynblooms""","=""18306900673120405""","=""I knew about 4. Loved learning more! 🙌🏾✨ #blackisbrilliant""","=""https://www.instagram.com/karynblooms""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/404886806_2069960263367606_59285231235094731_n.jpg""","=""2/22/2024, 6:15:23 PM"""
"=""205572099""","=""maviroot""","=""18048177856597141""","=""🔥🔥🔥I LOVE these illustrations! 🙌🏾❤️‍🔥 Ot makes it so fun to engage with and I can totally see how younger ppl would gravitate to this animated history instead of stills of the actual live images.""","=""https://www.instagram.com/maviroot""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/327800216_572558058058149_727403357866361978_n.jpg""","=""2/22/2024, 6:16:52 PM"""
"=""43638681065""","=""b.rookl.yn_""","=""18022865248854295""","=""another great piece of history about the Black Panther Party, in the 1970s, when most people considered the party to have burnt out. it was actually booming and helped aid in the 504 sit ins in California. they were an essential part in the community organizing that stood in solidarity with disability advocacy""","=""https://www.instagram.com/b.rookl.yn_""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/384943462_283806097789981_564812594209073128_n.jpg""","=""2/22/2024, 6:32:11 PM"""
"=""3079657""","=""devthepineapple""","=""18122281981337374""","=""@maviroot 🙏🏾🖤thank you!""","=""https://www.instagram.com/devthepineapple""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/345239800_907340873883578_3944158121113390967_n.jpg""","=""2/22/2024, 6:55:58 PM"""
"=""3206526827""","=""cyber_mom_friend.exe""","=""18271529680203007""","=""the first ambulance service was also born to serve black communities, before that, it was left to cops. And despite cops being untrained non medical personnel, they thought against the implementation of ambulances, because boy howdy did they love being able to underserve communities.""","=""https://www.instagram.com/cyber_mom_friend.exe""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/242987642_2991770144406896_2108006788742625624_n.jpg""","=""2/22/2024, 7:11:19 PM"""
"=""8700426537""","=""s.p.i.n.s.t.e.r""","=""18054326401556587""","=""There is no such thing as a white cowboy.  When whites did this job they were called 'cowhand.' The 'boy' in cowboy was to demean and infantilise Black (and Indigenous) men.  Enslaved Black and Indigenous men were the first and only people to do this work for many years on Turtle Island.""","=""https://www.instagram.com/s.p.i.n.s.t.e.r""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/43093735_909850242546989_5917367625578446848_n.jpg""","=""2/22/2024, 7:27:11 PM"""
"=""373142541""","=""fieryoceanne""","=""18019872434081758""","=""Yes, these are awesome! I knew a few but now I know more! 😍""","=""https://www.instagram.com/fieryoceanne""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/387675267_342219524981513_4451330849007819871_n.jpg""","=""2/22/2024, 7:35:02 PM"""
"=""59137364292""","=""littleflamingmarshmallow""","=""18022328689846389""","=""I knew of half of these facts, the first one courtesy of my own kid. Learning about things like this is, I think, a great way to introduce folks who need to do their work to the facts of racism and oppression. When we get to see what remarkable discoveries and inventions were due to Black ingenuity, we can begin to ask """"But why didn't I know about this?"""", which hopefully leads to being curious and listening and learning. Thank you for sharing this 👏👏👏""","=""https://www.instagram.com/littleflamingmarshmallow""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/361808129_1744250776008696_9047450490295454693_n.jpg""","=""2/22/2024, 8:02:53 PM"""
"=""344191723""","=""life_of_aaro""","=""18018512090117317""","=""That’s exactly why they called them cow-“boys.” And of course just like there black people doing all kinds of laborious work, we were pasturing and driving cattle and riding horses as you’d have to to do that.""","=""https://www.instagram.com/life_of_aaro""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/434354777_935385061371610_6371052229619188473_n.jpg""","=""2/22/2024, 8:28:06 PM"""
"=""20471053109""","=""phantompuppo""","=""18218946901272696""","=""This is very cool!""","=""https://www.instagram.com/phantompuppo""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/311595124_646454753860865_469644124859240738_n.jpg""","=""2/22/2024, 8:52:36 PM"""
