"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""323552891""","=""allie_oakley""","=""18041295205772113""","=""🔥🔥🔥""","=""https://www.instagram.com/allie_oakley""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/193559609_378060483608313_818405520997653882_n.jpg""","=""4/22/2024, 8:38:33 PM"""
"=""11107960198""","=""rosanna_lou_""","=""18002112044605472""","=""👏👏👏""","=""https://www.instagram.com/rosanna_lou_""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/440074260_1158533982258142_2689494875672660398_n.jpg""","=""4/22/2024, 8:44:40 PM"""
"=""54298677239""","=""centro_coop_east_boston""","=""18144548254315420""","=""❤️❤️❤️""","=""https://www.instagram.com/centro_coop_east_boston""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/293091899_1368457323649213_1533472863308737546_n.jpg""","=""4/22/2024, 11:39:53 PM"""
"=""345649725""","=""cciliaxx""","=""18261377332171019""","=""👏👏👏""","=""https://www.instagram.com/cciliaxx""","=""https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""4/23/2024, 3:15:05 AM"""
"=""11888863171""","=""kyle.lichter7""","=""18046915465712212""","=""Go fight in Gaza if you’re so outraged. SMH..""","=""https://www.instagram.com/kyle.lichter7""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/72949996_423286608584689_1802519253539094528_n.jpg""","=""4/23/2024, 8:50:31 AM"""
"=""5470058805""","=""claireharrisonartist""","=""18307657792196954""","=""I agree that consumerism and capitalism increases climate change. What the resolution is I am not sure as those in power are richer and won't want to relinquish their way of life. Ultimately if we don't find a new way the human race will destroy itself through greed. The planet will change irrevocably.  However nature and new species will flourish. We will be either extinct or almost wiped out.""","=""https://www.instagram.com/claireharrisonartist""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/368195439_312865561117015_8170758432619636595_n.jpg""","=""4/23/2024, 10:47:50 AM"""
"=""6342901959""","=""_normalnt_""","=""18025985285095426""","=""You when you didn't even read the slides🤡not once was Gaza nor Palestine mentioned.""","=""https://www.instagram.com/_normalnt_""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/351807965_1017649586067084_2000522590639631979_n.jpg""","=""4/23/2024, 8:41:25 PM"""
"=""58477944981""","=""reziostance""","=""18025713623039088""","=""Not capitalism. Bl@ckrock must be shut down..""","=""https://www.instagram.com/reziostance""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/360047950_290722116821713_265684194639256260_n.jpg""","=""4/23/2024, 9:16:38 PM"""
"=""1527745""","=""justkeen""","=""18028399028069110""","=""To Me, this isn’t about the Earth surviving. It’s about the human race surviving our own extinction. The earth has undergone incredibly catastrophic destruction and damage from meteorites. It wiped out the dinosaurs as we all know. The earth will eventually rebalance itself. We just won’t be here when that happens.""","=""https://www.instagram.com/justkeen""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/381445880_995918385020785_5600589134649991556_n.jpg""","=""4/23/2024, 9:23:29 PM"""
"=""295386197""","=""kekomusik""","=""18026221819888204""","=""😂""","=""https://www.instagram.com/kekomusik""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/446106808_471318148791146_8695921405088516141_n.jpg""","=""4/23/2024, 10:47:02 PM"""
"=""64001460797""","=""edificationrenegade""","=""18180181237292289""","=""Please help our friend Mohammed. https://gofund.me/7bcda568 link in my bio""","=""https://www.instagram.com/edificationrenegade""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/441264347_3276463015981818_7922011884250282576_n.jpg""","=""4/24/2024, 1:50:40 AM"""
"=""5345624989""","=""richiereseda""","=""18024608036109693""","=""🔄""","=""https://www.instagram.com/richiereseda""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/431641018_267649763090484_2581696236687614817_n.jpg""","=""4/25/2024, 7:45:13 PM"""
"=""62417835761""","=""visionaryseedling""","=""18063723208548574""","=""Yes! So agree!!""","=""https://www.instagram.com/visionaryseedling""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/436588011_1440634256844167_7826485378990279096_n.jpg""","=""5/4/2024, 9:47:53 PM"""
