"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""638822602""","=""phillipche""","=""18134910292310723""","=""@seductivelightphotography it’s not about morality, it’s about human rights.""","=""https://www.instagram.com/phillipche""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/308883646_926516671551863_3246267632403500861_n.jpg""","=""12/16/2023, 6:26:51 PM"""
"=""1677578022""","=""samwrobo""","=""18021638977921140""","=""@josebenegas they're clearing ripping off the current DreamWorks and Disney designs to appeal to a wider audience. Watch a movie sometime and look at some art""","=""https://www.instagram.com/samwrobo""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/41811568_150683105883165_157629968392650752_n.jpg""","=""12/16/2023, 7:03:02 PM"""
"=""4068874217""","=""californiagoldenmemes""","=""18206924995287478""","=""@phillipche that's my point, we don't have one""","=""https://www.instagram.com/californiagoldenmemes""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/370643383_1949467748764495_5902397054229294139_n.jpg""","=""12/16/2023, 7:51:25 PM"""
"=""1472023567""","=""shallnot_beinfringed""","=""17892080828881971""","=""😂😂😂""","=""https://www.instagram.com/shallnot_beinfringed""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/44180374_313817812542120_1120874099321602048_n.jpg""","=""12/16/2023, 7:58:46 PM"""
"=""1472023567""","=""shallnot_beinfringed""","=""17947424813737814""","=""@purplerotus discrimination is bad but force against peaceful people is totally cool. Gotchya.""","=""https://www.instagram.com/shallnot_beinfringed""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/44180374_313817812542120_1120874099321602048_n.jpg""","=""12/16/2023, 8:00:18 PM"""
"=""1472023567""","=""shallnot_beinfringed""","=""17852757813095562""","=""@inglorious_hmbre that would suck sure, but they werent born with a right to service from a particular business owner...""","=""https://www.instagram.com/shallnot_beinfringed""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/44180374_313817812542120_1120874099321602048_n.jpg""","=""12/16/2023, 8:20:37 PM"""
"=""638822602""","=""phillipche""","=""17855838771085228""","=""@californiagoldenmemes when your non-white family breaks down on the side of the road in Alabama, or needs a doctor, you think that in this country, it should be ok to refuse service based on the color of their skin? I’m sorry but of all of the ills of society, allowing for discrimination based on race, color or creed is just something we’ve thankfully moved on from.""","=""https://www.instagram.com/phillipche""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/308883646_926516671551863_3246267632403500861_n.jpg""","=""12/16/2023, 8:31:55 PM"""
"=""4068874217""","=""californiagoldenmemes""","=""17947699895729844""","=""@phillipche I agree, but we've definitely not moved on from discrimination. We've just politically shifted the targets""","=""https://www.instagram.com/californiagoldenmemes""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/370643383_1949467748764495_5902397054229294139_n.jpg""","=""12/16/2023, 8:46:16 PM"""
"=""32623336""","=""josebenegas""","=""17904706961903152""","=""@incanus_stormcrow as slavery was right? How is that being against segregation is not consistent and make you look like those guys but being in favor make you look so nice. What kind of stupids are followers of this students, according to them?""","=""https://www.instagram.com/josebenegas""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/412052709_899188141340987_6688539090166442729_n.jpg""","=""12/16/2023, 9:48:17 PM"""
"=""2093033""","=""nels_ra""","=""17849874333102715""","=""@vinayakansajeev Yes. Markets select in a free market system because individuals wouldn’t be selling a lifestyle or political agenda. No one would even have to know how a person identifies or what religion they practiced. Business would solely be dependent on talent and quality of product or services.""","=""https://www.instagram.com/nels_ra""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/428063468_1131666308191484_813897671701280764_n.jpg""","=""12/16/2023, 10:32:26 PM"""
"=""2093033""","=""nels_ra""","=""18028701436781663""","=""Dismantle every bureaucratic institution starting with the IRS and census and every check box identifying political groups.""","=""https://www.instagram.com/nels_ra""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/428063468_1131666308191484_813897671701280764_n.jpg""","=""12/16/2023, 10:34:18 PM"""
"=""39727041""","=""nicajake""","=""17960237387682795""","=""@josebenegas you missed the  whole point""","=""https://www.instagram.com/nicajake""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/14072857_790614657745165_1276018976_a.jpg""","=""12/17/2023, 12:46:23 AM"""
"=""341437392""","=""incanus_stormcrow""","=""17885488106974571""","=""@josebenegas segregation was government enforced, Jim Crow was also. The South had to force southerners to segregate because they otherwise wouldn't have. How is advocating for free association """"segregation propaganda?"""". No one is advocating we go back to segregation.""","=""https://www.instagram.com/incanus_stormcrow""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/343037233_613738867338298_8480617251122553697_n.jpg""","=""12/17/2023, 2:45:33 AM"""
"=""5977074324""","=""purplerotus""","=""18248989981171741""","=""@christianpaul117 they do and should so long as your open to the public. It’s like business hours. They have to be posted. You can’t just open and close shop when you want without proper notification to the public, or you may face penalties otherwise, regardless if it’s on “private” property. And stop trying to mask your bigoted hate behind property rights. Anybody with half a brain knows you’re full of sh*t.""","=""https://www.instagram.com/purplerotus""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/21224321_2050845515201641_1149580458137223168_a.jpg""","=""12/17/2023, 3:54:01 AM"""
"=""5977074324""","=""purplerotus""","=""18246321109232699""","=""@shallnot_beinfringed wtf are talking about? If they’re discriminating, they’re not being peaceful. They’re forcing their hate upon others which creates turmoil, etc.""","=""https://www.instagram.com/purplerotus""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/21224321_2050845515201641_1149580458137223168_a.jpg""","=""12/17/2023, 3:59:23 AM"""
"=""2467414636""","=""juniortorres720""","=""18062060605484607""","=""It makes sense though. Ron Paul said it best. It all boils down to individual rights. If a business owner says they are going to serve a certain group of people, what will happen? They’ll lose business. So they would have to change the way they operate if they want to continue growing. But if not, that’s their choice as privately owned businesses. It sounds harsh but it boils down to individual rights and the individual is precious.""","=""https://www.instagram.com/juniortorres720""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/440774699_1082259859526340_979098489165505128_n.jpg""","=""12/17/2023, 4:01:09 AM"""
"=""1524539669""","=""christianpaul117""","=""18007349732486581""","=""@purplerotus You don't know me or my beliefs. Claiming that I'm just hateful is baseless. Ownership is having exclusive control of something, so it's perfectly consistent that this applies to anyone, even dictating who you serve. You being open to the public doesn't mean you have to accept any and all of the public. Just like you can ask people to leave for behavior, what they are wearing, etc, that same principle applies to how they look. Another popular example is the Christian bakery refusing to bake a cake for a gay wedding. They aren't somehow obligated to do this because they are open to the public. They get to decide this as actors and owners. The freedom of association also comes with the freedom to disassociate. I don't advocate for racism. I advocate for owners to decide what they want to do with what they own. Because again, that's what it means to own. As for """"they have to be posted"""" this is just another example of government interfering with people's property. This doesn't disprove my point in any way.""","=""https://www.instagram.com/christianpaul117""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/11055720_854022891343370_456899426_a.jpg""","=""12/17/2023, 4:11:28 AM"""
"=""1524539669""","=""christianpaul117""","=""18261013489201911""","=""@phillipche It being okay to refuse service and them being allowed to refuse service are two separate things.""","=""https://www.instagram.com/christianpaul117""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/11055720_854022891343370_456899426_a.jpg""","=""12/17/2023, 4:12:41 AM"""
"=""1524539669""","=""christianpaul117""","=""18029616943645945""","=""@purplerotus Forcing hate upon others makes no sense. Discrimination is peaceful. It's not affecting you physically. You don't somehow have a right to have your feelings protected.""","=""https://www.instagram.com/christianpaul117""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/11055720_854022891343370_456899426_a.jpg""","=""12/17/2023, 4:13:54 AM"""
"=""3911921801""","=""mfdelong89""","=""18102646906366861""","=""@_nick_bucci_ this seems very assumptive that the mob and society will always have their comeuppance. There are a lot of people here wagging their head about a lack of freedom no one has had for 60 years. What would get better if we change what we have been doing?""","=""https://www.instagram.com/mfdelong89""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/43008711_1180944448741847_7203139237519032320_n.jpg""","=""12/17/2023, 4:24:04 AM"""
