"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""189016647""","=""dajaan""","=""17890595132840155""","=""Magical.breathtaking.strong message. We just watched a baby whale with his mother and felt so lucky. Awesome work guys 💚.""","=""https://www.instagram.com/dajaan""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/306878097_777172376876646_4821454574802179396_n.jpg""","=""9/30/2023, 11:01:50 AM"""
"=""8667213434""","=""yvettefirehorse""","=""18002774837102678""","=""Such beautiful work 👏""","=""https://www.instagram.com/yvettefirehorse""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/42002585_2110352909228569_8318205626228408320_n.jpg""","=""9/30/2023, 11:28:45 AM"""
"=""5311387153""","=""brk_2908""","=""18082550161388839""","=""Wow, i can feel the emotion""","=""https://www.instagram.com/brk_2908""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/32225522_456142471473704_5191305577443098624_n.jpg""","=""9/30/2023, 11:44:05 AM"""
"=""5311387153""","=""brk_2908""","=""18355298995076157""","=""... so tiny people and a wonderful big wale""","=""https://www.instagram.com/brk_2908""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/32225522_456142471473704_5191305577443098624_n.jpg""","=""9/30/2023, 11:44:37 AM"""
"=""374057723""","=""roamtobewild""","=""17988723824343933""","=""😍 @titouanbernicot ✨""","=""https://www.instagram.com/roamtobewild""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/440377964_313878418396767_6892263152634912038_n.jpg""","=""9/30/2023, 11:50:34 AM"""
"=""8678443786""","=""_ours_bearnais""","=""17917600196722624""","=""🖤🖤🖤""","=""https://www.instagram.com/_ours_bearnais""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/344264094_938914460480341_9152247274163260488_n.jpg""","=""9/30/2023, 11:58:27 AM"""
"=""6087711286""","=""greetvdd""","=""17881379858892043""","=""This is absolutely epic!!""","=""https://www.instagram.com/greetvdd""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/330859247_172167082221410_7762764062875156276_n.jpg""","=""9/30/2023, 12:06:52 PM"""
"=""492006823""","=""marilearns""","=""17953446017671847""","=""Wonderful people, we need more like you guys! 💙""","=""https://www.instagram.com/marilearns""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/432970402_24942537712058522_6224450323960960103_n.jpg""","=""9/30/2023, 12:12:20 PM"""
"=""8752783830""","=""freerangekiwibird""","=""17869479641949001""","=""Cool shots 😍""","=""https://www.instagram.com/freerangekiwibird""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/434950794_1165853298158367_1814705592140809709_n.jpg""","=""9/30/2023, 1:16:54 PM"""
"=""1437131124""","=""emma_chtn""","=""18002311150900399""","=""Frissons""","=""https://www.instagram.com/emma_chtn""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/425444638_3598839347023168_1555478391244633343_n.jpg""","=""9/30/2023, 1:25:29 PM"""
"=""48602943000""","=""ctelios""","=""18023278510732732""","=""😍😍""","=""https://www.instagram.com/ctelios""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/310180347_644784867042687_5128136828890754491_n.jpg""","=""9/30/2023, 1:36:06 PM"""
"=""49265964768""","=""yiolanda_ktena""","=""17994043394211638""","=""Absulately stunning pictures!!!""","=""https://www.instagram.com/yiolanda_ktena""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/365786471_300306565887145_1466471916520319269_n.jpg""","=""9/30/2023, 2:42:39 PM"""
"=""220304849""","=""dnacaper""","=""18228566230245333""","=""Gorgeous work""","=""https://www.instagram.com/dnacaper""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/444815749_1191455345106874_1720356518756821740_n.jpg""","=""9/30/2023, 2:48:37 PM"""
"=""4046392491""","=""mabelgonzalezmlihue""","=""18015121822889036""","=""👏👏👏👏👏😍😍😍""","=""https://www.instagram.com/mabelgonzalezmlihue""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/14717349_185819418532035_3491881941488107520_n.jpg""","=""9/30/2023, 4:05:53 PM"""
"=""1930886421""","=""yilidemar""","=""17993933618264598""","=""💙""","=""https://www.instagram.com/yilidemar""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/16465871_613549452175094_5877196293947785216_a.jpg""","=""9/30/2023, 4:08:29 PM"""
