"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""330120271""","=""tonyanelson""","=""18039163765239262""","=""They were so spot on!""","=""https://www.instagram.com/tonyanelson""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/209276988_948159195754048_5906931522284576892_n.jpg""","=""1/24/2020, 5:07:05 AM"""
"=""145236148""","=""theisabelbrown""","=""18095914501122684""","=""Beautiful photo!""","=""https://www.instagram.com/theisabelbrown""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/363315965_653205146738708_3091985538657570815_n.jpg""","=""1/24/2020, 5:07:28 AM"""
"=""9309076421""","=""el.lazarus""","=""17877752239514843""","=""You look beautiful! Also I’m obsessed with that dress!!😍😍""","=""https://www.instagram.com/el.lazarus""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/418815900_723654639719024_6414920721615074893_n.jpg""","=""1/24/2020, 5:07:58 AM"""
"=""336985918""","=""savethestorks""","=""18125739610045472""","=""💙💙💙""","=""https://www.instagram.com/savethestorks""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/333422967_566457775452395_4622253329878996521_n.jpg""","=""1/24/2020, 5:13:51 AM"""
"=""1067286672""","=""tweets317""","=""17857271518724010""","=""Awesome!! Wish I were there too""","=""https://www.instagram.com/tweets317""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/355850535_6194490457267438_1758377403341404504_n.jpg""","=""1/24/2020, 5:14:00 AM"""
"=""1503777587""","=""562.brian""","=""17893143100453843""","=""🦅🇺🇸""","=""https://www.instagram.com/562.brian""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/441246373_450854334117595_7536185076529436269_n.jpg""","=""1/24/2020, 5:14:39 AM"""
"=""6103433084""","=""cfriiamerica""","=""18126505198053778""","=""You look so beautiful sister in Christ! Amen- God is Love and HIS children are our children. We are HIS children, hand in hand We, the people are the change and the voice for these precious ones! I pray each and every one of us find our purpose to put forth the effort to SPREAD HIS message and Love! 
WE❤️PRO LIFE""","=""https://www.instagram.com/cfriiamerica""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/359360462_841036290711987_3926071552896051185_n.jpg""","=""1/24/2020, 5:28:28 AM"""
"=""3678476201""","=""morgan._.jarviss""","=""18090981424191717""","=""Pro lifers are the worst""","=""https://www.instagram.com/morgan._.jarviss""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/273557606_1094875501350313_4216304191723594389_n.jpg""","=""1/24/2020, 5:31:06 AM"""
"=""9466434731""","=""hvostalamanda""","=""17880094918508015""","=""Wow! Great photo! Everyone looks awesome! ❤️""","=""https://www.instagram.com/hvostalamanda""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/332336323_1911766509175018_515472322960303723_n.jpg""","=""1/24/2020, 5:33:08 AM"""
"=""12244469904""","=""lifedressorg""","=""18125574355061447""","=""Beautiful! 💕""","=""https://www.instagram.com/lifedressorg""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/332042293_3481407358782844_5361463968640745260_n.jpg""","=""1/24/2020, 5:36:05 AM"""
"=""3220604105""","=""_naomimercer_""","=""17864207047616150""","=""So. Jealous. And I LOVE the dresses!""","=""https://www.instagram.com/_naomimercer_""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/435098679_386835257641524_1821654592701264991_n.jpg""","=""1/24/2020, 5:36:19 AM"""
